Date,Power [kWh],Power-1 [kWh],Hour,Temperature [C],Holiday
2019-01-04 15:00:00,335.033,326.669,15,12.806666666666668,0
2019-01-04 16:00:00,354.929,335.033,16,12.620833333333332,0
2019-01-04 17:00:00,341.378,354.929,17,12.311666666666667,0
2019-01-04 18:00:00,297.748,341.378,18,12.2375,0
2019-01-04 19:00:00,229.831,297.748,19,11.891666666666667,0
2019-01-04 20:00:00,171.325,229.831,20,11.576666666666666,0
2019-01-04 21:00:00,141.75,171.325,21,11.236666666666666,0
2019-01-04 22:00:00,123.654,141.75,22,11.008333333333333,0
2019-01-04 23:00:00,113.21,123.654,23,10.881666666666668,0
2019-01-05 00:00:00,107.28,113.21,0,10.2875,0
2019-01-05 01:00:00,109.051,107.28,1,9.729166666666666,0
2019-01-05 02:00:00,105.39,109.051,2,9.294166666666667,0
2019-01-05 03:00:00,106.187,105.39,3,8.623333333333333,0
2019-01-05 04:00:00,104.936,106.187,4,7.71,0
2019-01-05 05:00:00,101.995,104.936,5,7.521666666666666,0
2019-01-05 06:00:00,105.06,101.995,6,7.439166666666666,0
2019-01-05 07:00:00,103.624,105.06,7,7.427499999999999,0
2019-01-05 08:00:00,116.373,103.624,8,7.4375,0
2019-01-05 09:00:00,138.51,116.373,9,8.131666666666666,0
2019-01-05 10:00:00,249.364,138.51,10,8.887500000000001,0
2019-01-05 11:00:00,173.418,249.364,11,9.395833333333334,0
2019-01-05 12:00:00,196.38,173.418,12,11.0225,0
2019-01-05 13:00:00,191.382,196.38,13,12.494166666666668,0
2019-01-05 14:00:00,180.109,191.382,14,13.313333333333333,0
2019-01-05 15:00:00,185.278,180.109,15,13.4675,0
2019-01-05 16:00:00,184.627,185.278,16,13.315833333333332,0
2019-01-05 17:00:00,190.753,184.627,17,12.171666666666669,0
2019-01-05 18:00:00,195.251,190.753,18,11.685833333333331,0
2019-01-05 19:00:00,146.042,195.251,19,11.729166666666666,0
2019-01-05 20:00:00,129.314,146.042,20,11.134166666666667,0
2019-01-05 21:00:00,124.963,129.314,21,10.821666666666667,0
2019-01-05 22:00:00,104.955,124.963,22,10.7525,0
2019-01-05 23:00:00,105.516,104.955,23,10.406666666666666,0
2019-01-06 00:00:00,0.0,105.516,0,9.231666666666667,0
2019-01-06 01:00:00,0.0,0.0,1,8.5075,0
2019-01-06 02:00:00,0.0,0.0,2,8.900833333333333,0
2019-01-06 03:00:00,0.0,0.0,3,8.611666666666666,0
2019-01-06 04:00:00,0.0,0.0,4,7.439166666666666,0
2019-01-06 05:00:00,0.0,0.0,5,7.475833333333333,0
2019-01-06 06:00:00,0.0,0.0,6,7.212833333333333,0
2019-01-06 07:00:00,0.0,0.0,7,6.802416666666667,0
2019-01-06 08:00:00,0.0,0.0,8,6.531833333333334,0
2019-01-06 09:00:00,0.0,0.0,9,5.526083333333333,0
2019-01-06 10:00:00,0.0,0.0,10,7.128166666666666,0
2019-01-06 11:00:00,0.0,0.0,11,8.849166666666667,0
2019-01-06 12:00:00,0.0,0.0,12,9.615,0
2019-01-06 13:00:00,0.0,0.0,13,10.9575,0
2019-01-06 14:00:00,0.0,0.0,14,13.3925,0
2019-01-06 15:00:00,0.0,0.0,15,15.214166666666666,0
2019-01-06 16:00:00,0.0,0.0,16,12.8025,0
2019-01-06 17:00:00,0.0,0.0,17,11.810833333333331,0
2019-01-06 18:00:00,0.0,0.0,18,11.7325,0
2019-01-06 19:00:00,0.0,0.0,19,11.465000000000002,0
2019-01-06 20:00:00,0.0,0.0,20,10.983333333333334,0
2019-01-06 21:00:00,0.0,0.0,21,10.465,0
2019-01-06 22:00:00,0.0,0.0,22,10.1275,0
2019-01-06 23:00:00,0.0,0.0,23,10.105,0
2019-01-07 00:00:00,101.235,0.0,0,9.751666666666669,0
2019-01-07 01:00:00,95.956,101.235,1,10.075833333333334,0
2019-01-07 02:00:00,98.336,95.956,2,9.1775,0
2019-01-07 03:00:00,102.791,98.336,3,7.7475,0
2019-01-07 04:00:00,98.346,102.791,4,7.864999999999999,0
2019-01-07 05:00:00,98.923,98.346,5,8.191666666666666,0
2019-01-07 06:00:00,110.653,98.923,6,6.998,0
2019-01-07 07:00:00,368.139,110.653,7,7.15575,0
2019-01-07 08:00:00,263.814,368.139,8,7.5,0
2019-01-07 09:00:00,322.372,263.814,9,8.189166666666667,0
2019-01-07 10:00:00,344.52,322.372,10,10.104166666666666,0
2019-01-07 11:00:00,389.494,344.52,11,11.320833333333333,0
2019-01-07 12:00:00,380.159,389.494,12,12.368333333333334,0
2019-01-07 13:00:00,366.705,380.159,13,13.253333333333332,0
2019-01-07 14:00:00,378.787,366.705,14,13.871666666666668,0
2019-01-07 15:00:00,429.535,378.787,15,14.714166666666666,0
2019-01-07 16:00:00,399.23,429.535,16,14.639166666666668,0
2019-01-07 17:00:00,378.622,399.23,17,14.320833333333333,0
2019-01-07 18:00:00,356.039,378.622,18,14.526666666666666,0
2019-01-07 19:00:00,195.121,356.039,19,14.428333333333333,0
2019-01-07 20:00:00,143.578,195.121,20,14.175833333333337,0
2019-01-07 21:00:00,114.923,143.578,21,13.14,0
2019-01-07 22:00:00,116.434,114.923,22,11.824166666666663,0
2019-01-07 23:00:00,110.868,116.434,23,10.5575,0
2019-01-08 00:00:00,116.142,110.868,0,11.485833333333332,0
2019-01-08 01:00:00,108.409,116.142,1,10.685,0
2019-01-08 02:00:00,0.0,108.409,2,10.015833333333331,0
2019-01-08 03:00:00,0.0,0.0,3,9.511666666666668,0
2019-01-08 04:00:00,0.0,0.0,4,8.655833333333334,0
2019-01-08 05:00:00,0.0,0.0,5,9.355,0
2019-01-08 06:00:00,0.0,0.0,6,8.68,0
2019-01-08 07:00:00,0.0,0.0,7,6.865583333333333,0
2019-01-08 08:00:00,0.0,0.0,8,7.0545,0
2019-01-08 09:00:00,0.0,0.0,9,7.803333333333334,0
2019-01-08 10:00:00,0.0,0.0,10,8.531666666666666,0
2019-01-08 11:00:00,356.883,0.0,11,9.545833333333333,0
2019-01-08 12:00:00,385.351,356.883,12,10.71,0
2019-01-08 13:00:00,400.277,385.351,13,12.1775,0
2019-01-08 14:00:00,381.394,400.277,14,14.2525,0
2019-01-08 15:00:00,385.3,381.394,15,15.123333333333331,0
2019-01-08 16:00:00,384.085,385.3,16,15.486666666666666,0
2019-01-08 17:00:00,356.247,384.085,17,14.351666666666668,0
2019-01-08 18:00:00,290.176,356.247,18,13.768333333333333,0
2019-01-08 19:00:00,161.909,290.176,19,13.130833333333332,0
2019-01-08 20:00:00,122.904,161.909,20,12.753333333333332,0
2019-01-08 21:00:00,108.215,122.904,21,13.14,0
2019-01-08 22:00:00,112.934,108.215,22,13.051666666666668,0
2019-01-08 23:00:00,104.55,112.934,23,12.495833333333332,0
2019-01-09 00:00:00,92.786,104.55,0,12.038333333333334,0
2019-01-09 01:00:00,95.523,92.786,1,11.925,0
2019-01-09 02:00:00,94.492,95.523,2,10.4175,0
2019-01-09 03:00:00,95.661,94.492,3,8.813333333333334,0
2019-01-09 04:00:00,95.922,95.661,4,8.219166666666666,0
2019-01-09 05:00:00,93.947,95.922,5,8.839166666666667,0
2019-01-09 06:00:00,98.421,93.947,6,7.906833333333334,0
2019-01-09 07:00:00,93.798,98.421,7,8.3175,0
2019-01-09 08:00:00,97.493,93.798,8,8.0375,0
2019-01-09 09:00:00,90.08,97.493,9,7.624166666666666,0
2019-01-09 10:00:00,96.884,90.08,10,9.91,0
2019-01-09 11:00:00,100.372,96.884,11,12.67,0
2019-01-09 12:00:00,96.033,100.372,12,12.99,0
2019-01-09 13:00:00,99.333,96.033,13,16.328333333333333,0
2019-01-09 14:00:00,95.561,99.333,14,16.81,0
2019-01-09 15:00:00,98.777,95.561,15,17.485833333333332,0
2019-01-09 16:00:00,96.83,98.777,16,17.04,0
